source_id,source,kind,role,owner_agent,leased_skill,waves,mission_use,installed_in_cnc_runtime,lease_status,runtime_install
UP-17,mksglu/context-mode,UPSTREAM_METHOD,context governance,Context Governor,context-projection,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Keep raw logs outside active context; retain summaries, hashes and pointers",NO,CLOSED,NO
UP-18,guardrails-ai/guardrails,UPSTREAM_METHOD,deterministic validation,Fail-Closed Guard Agent,deterministic-guardrails,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Block unknown clauses, missing ranges, invalid per-feature parameters and stale approval",NO,CLOSED,NO
UP-19,karpathy/autoresearch,UPSTREAM_METHOD,objective mutation loop,Mutation & Metamorphic Agent,one-variable-mutation,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Freeze baseline; mutate one rule/input dimension; measure new error-class yield,NO,CLOSED,NO
UP-20,vibrantlabsai/ragas,UPSTREAM_METHOD,RAG evaluation,Retrieval Evaluation Agent,rag-evaluation,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Assess exact operation/material range retrieval and provenance quality,NO,CLOSED,NO
UP-21,confident-ai/deepeval,UPSTREAM_METHOD,agent behavior evaluation,Behavior Evaluation Agent,agent-evaluation,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Score false-allow, false-block, wrong-reason, semantic drop and lifecycle errors",NO,CLOSED,NO
UP-22,alexrolls/ultra-review,UPSTREAM_METHOD,adversarial review,Independent Falsification Reviewer,adversarial-review,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Discover counterexamples independently, challenge author claims, close only proven findings",NO,CLOSED,NO
UP-23,opensandbox-group/OpenSandbox,UPSTREAM_METHOD,sandbox control plane,Sandbox Control Agent,sandbox-control,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Isolate project copy, deny machine network/credentials, enforce teardown",NO,CLOSED,NO
UP-24,agent-infra/sandbox,UPSTREAM_METHOD,workspace plane,Evidence Workspace Agent,sandbox-workspace,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Run tests/coverage/mutations in isolated workspace and capture artifacts,NO,CLOSED,NO
UP-25,kepano/obsidian-skills,UPSTREAM_METHOD,typed knowledge vault,Wiki Curator,typed-vault,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Promote only reviewed L2 claims with provenance, status and limitations",NO,CLOSED,NO
UP-26,anthropics/skills,UPSTREAM_METHOD,skill packaging,Skill Lease Agent,skill-packaging,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Lease only required method, then close and clean active context",NO,CLOSED,NO
GOV-01,FULL_AGENTIC_MASTER_SOURCE,GOVERNANCE,authority/safety/evidence,Authority Governor,ALWAYS_ON_CONTRACT,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Enforce authority, evidence levels, expected/forbidden matrix and operator gate",NO,CLOSED,NO
GOV-02,FULL_AGENTIC_WORK_SKILL_V3,GOVERNANCE,mission workflow,Workflow Orchestrator,ALWAYS_ON_WORKFLOW,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Run Full Agentic Work phases and require verification before completion,NO,CLOSED,NO
GOV-03,FULL_AGENTIC_V5_RESOLVED_LAYERS,GOVERNANCE,resolved engineering layers,Architecture Governor,ALWAYS_ON_ARCHITECTURE,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Enforce resolved ownership, bounded workers, terminal truth and sandbox planes",NO,CLOSED,NO
KB-01,CNC_LLM_WIKI,CURATED_KNOWLEDGE,curated project knowledge,Wiki Curator,MISSION_CONTEXT,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Wiki-first grounding, targeted RAG, contradiction register and minimal promotion",NO,CLOSED,NO
SRC-31,asgeirtj/system_prompts_leaks@7ef6b0881ad1ba43703ec811ce9342d709929e3b,COMPARATIVE_PATTERN_CORPUS,prompt/harness comparison,Comparative Pattern Curator,comparative-pattern-extraction,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Extract OpenAI tool/evidence discipline, Anthropic proactive verification/minimal questions, DeepSeek closed schemas; never authority",NO,CLOSED,NO
SRC-32,DietrichGebert/ponytail,UPSTREAM_METHOD,minimal implementation discipline,Minimality Reviewer,ponytail-build-review,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 24: Remove dead union-range complexity after tracing; never remove safety/tests,NO,CLOSED,NO
SRC-33,JuliusBrussee/caveman,UPSTREAM_METHOD,presentation compression,Presentation Compressor,caveman-lite,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 24: Compress final prose only; preserve warnings, code, paths, hashes and ordered procedures",NO,CLOSED,NO
