source_id,source,kind,role,owner_agent,leased_skill,waves,mission_use,installed_in_cnc_runtime,lease_status,runtime_install
UP-16,thedotmack/claude-mem,UPSTREAM_METHOD,cross-session progressive disclosure,Failure Memory Retriever,session-memory-search,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Retrieve prior failures with progressive disclosure; no automatic truth promotion.,NO,CLOSED,NO
UP-17,mksglu/context-mode,UPSTREAM_METHOD,context governance,Context Governor,context-projection,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Store large logs/coverage outside active context and retain compact evidence pointers.,NO,CLOSED,NO
UP-18,guardrails-ai/guardrails,UPSTREAM_METHOD,deterministic validation,Fail-Closed Guard Agent,deterministic-guardrails,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Fail closed on unrepresented atoms, multiple tools and scalar conflicts.",NO,CLOSED,NO
UP-19,karpathy/autoresearch,UPSTREAM_METHOD,objective mutation loop,Mutation & Metamorphic Agent,one-variable-mutation,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Delete each new guard independently and require regression to kill the mutant.,NO,CLOSED,NO
UP-20,vibrantlabsai/ragas,UPSTREAM_METHOD,RAG evaluation,Retrieval Evaluation Agent,rag-evaluation,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Check retrieved handoff/Wiki context precision and provenance.,NO,CLOSED,NO
UP-21,confident-ai/deepeval,UPSTREAM_METHOD,agent behavior evaluation,Behavior Evaluation Agent,agent-evaluation,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Evaluate false-allow, false-block, wrong-reason and silent-drop behavior.",NO,CLOSED,NO
UP-22,alexrolls/ultra-review,UPSTREAM_METHOD,adversarial review,Independent Falsification Reviewer,adversarial-review,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Perform independent four-pass adversarial review after implementation.,NO,CLOSED,NO
UP-23,opensandbox-group/OpenSandbox,UPSTREAM_METHOD,sandbox control plane,Sandbox Control Agent,sandbox-control,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Keep all execution in isolated L2 workspace with no machine route.,NO,CLOSED,NO
UP-24,agent-infra/sandbox,UPSTREAM_METHOD,workspace plane,Evidence Workspace Agent,sandbox-workspace,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Provide reproducible shell/file workspace and artifact capture.,NO,CLOSED,NO
UP-25,kepano/obsidian-skills,UPSTREAM_METHOD,typed knowledge vault,Wiki Curator,typed-vault,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Promote reviewed contracts, evidence and limitations into typed Wiki notes.",NO,CLOSED,NO
UP-26,anthropics/skills,UPSTREAM_METHOD,skill packaging,Skill Lease Agent,skill-packaging,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Package each capability as a bounded lease with cleanup.,NO,CLOSED,NO
GOV-01,FULL_AGENTIC_MASTER_SOURCE,GOVERNANCE,authority/safety/evidence,Authority Governor,ALWAYS_ON_CONTRACT,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Enforce source authority, expected/forbidden traceability and evidence levels.",NO,CLOSED,NO
GOV-02,FULL_AGENTIC_WORK_SKILL_V3,GOVERNANCE,mission workflow,Workflow Orchestrator,ALWAYS_ON_WORKFLOW,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Enforce Full Agentic Work sequence from freeze through cleanup.,NO,CLOSED,NO
GOV-03,FULL_AGENTIC_V5_RESOLVED_LAYERS,GOVERNANCE,resolved engineering layers,Architecture Governor,ALWAYS_ON_ARCHITECTURE,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Enforce state ownership, terminal truth and worker boundaries.",NO,CLOSED,NO
KB-01,CNC_LLM_WIKI,CURATED_KNOWLEDGE,curated project knowledge,Wiki Curator,MISSION_CONTEXT,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Wiki-first compiled context and evidence-backed Mission 25 promotion.,NO,CLOSED,NO
SRC-31,asgeirtj/system_prompts_leaks@7ef6b0881ad1ba43703ec811ce9342d709929e3b,COMPARATIVE_PATTERN_CORPUS,prompt/harness comparison,Comparative Pattern Curator,comparative-pattern-extraction,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,"Mission 25: Extract tool/evidence, proactive retrieval and strict-schema process patterns only.",NO,CLOSED,NO
SRC-32,DietrichGebert/ponytail,UPSTREAM_METHOD,minimal implementation discipline,Minimality Reviewer,ponytail-build-review,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Review for minimum safe patch and delete unreachable fallback code.,NO,CLOSED,NO
SRC-33,JuliusBrussee/caveman,UPSTREAM_METHOD,presentation compression,Presentation Compressor,caveman-lite,FREEZE|SPEC|RED|IMPLEMENT|VERIFY|FALSIFY|REVIEW|MEMORY|CLEANUP,Mission 25: Compress final presentation only; never compress safety contracts or exact evidence.,NO,CLOSED,NO
